blockLoop_thisRepN	trialLoop_thisRepN	firstKey	readyKey_corr	readyKey_rt	targetKey	blockType	margin	outcome	trialResp_keys	trialResp_corr	trialResp_rt
0	0	j	0	0.6353899207897484	j	4	0.1	0	j	1	0.4799096693750471
0	1	n/a	n/a	n/a	j	4	0.11	1	j	1	0.3989787196042016
0	2	n/a	n/a	n/a	f	4	0.1	1	j	0	0.4667218617396429
0	3	n/a	n/a	n/a	j	4	0.09000000000000001	1	j	1	0.7547607196029276
0	4	n/a	n/a	n/a	j	4	0.08000000000000002	2	j	1	0.3661749855382368
0	5	n/a	n/a	n/a	j	4	0.09000000000000001	2	f	0	0.4486708417534828
0	6	n/a	n/a	n/a	j	4	0.08000000000000002	1	j	1	0.4177439118502662
0	7	n/a	n/a	n/a	j	4	0.07000000000000002	1	j	1	0.4092713505961001
0	8	n/a	n/a	n/a	f	4	0.06000000000000002	1	j	0	0.44413406716194
0	9	n/a	n/a	n/a	j	4	0.05000000000000002	2	j	1	0.4710878622718155
0	10	n/a	n/a	n/a	j	4	0.06000000000000002	2	j	1	0.4207211969187483
0	11	n/a	n/a	n/a	j	4	0.07000000000000002	2	f	0	0.5657357625896111
0	12	n/a	n/a	n/a	j	4	0.06000000000000002	2	j	1	0.4245369570562616
0	13	n/a	n/a	n/a	j	4	0.07000000000000002	1	j	1	0.4209911853540689
0	14	n/a	n/a	n/a	f	4	0.06000000000000002	1	j	0	0.4366488023661077
0	15	n/a	n/a	n/a	j	4	0.05000000000000002	2	j	1	0.4352093393681571
0	16	n/a	n/a	n/a	j	4	0.06000000000000002	1	j	1	0.4216189725557342
0	17	n/a	n/a	n/a	j	4	0.05000000000000002	1	f	0	0.4623350490583107
0	18	n/a	n/a	n/a	j	4	0.04000000000000001	2	j	1	0.4543596998555586
0	19	n/a	n/a	n/a	j	4	0.05000000000000002	2	j	1	0.4700013514375314
0	20	n/a	n/a	n/a	f	4	0.06000000000000002	2	j	0	0.5268257858697325
0	21	n/a	n/a	n/a	j	4	0.07000000000000002	2	f	0	0.5062393835978583
0	22	n/a	n/a	n/a	j	4	0.08000000000000002	2	f	0	0.4392828287091106
0	23	n/a	n/a	n/a	j	4	0.09000000000000001	1	j	1	6.393108823918737
0	24	n/a	n/a	n/a	j	4	0.08000000000000002	2	j	1	0.4618232969660312
